Home,Away
Clemson,Notre Dame
Alabama,Oklahoma
Alabama,Clemson
Alabama,Notre Dame
Oklahoma,Clemson
Oklahoma,Notre Dame
Minnesota,Georgia Tech
Miami,Wisconsin
Purdue,Auburn
West Virginia,Syracuse
Iowa State,Washington State
Florida,Michigan
South Carolina,Virginia
Stanford,Pitt
Michigan State,Oregon
Missouri,Oklahoma State
Northwestern,Utah
North Carolina State,Texas A&M
Mississippi State,Iowa
Kentucky,Penn State
Washington,Ohio State
Texas,Georgia
LSU,UCF
Louisiana,Tulane
Utah State,North Texas
Arizona State,Fresno State
Eastern Michigan,Georgia Southern
Northern Illinois,UAB
San Diego State,Ohio
South Florida,Marshall
Florida International,Toledo
Wake Forest,Memphis
Buffalo,Troy
Louisiana Tech,Hawaii
Boston College,Boise State
Texas Christian,California
Temple,Duke
Baylor,Vanderbilt
Nevada,Arkansas
Virginia Tech,Cincinnati
Oklahoma State,Missouri
Texas A&M,North Carolina State
