Home,Away,Home_score,Away_score,Winner
Purdue,Northwestern,27,31,1
Ohio State,Rutgers,52,3,0
Illinois,Penn State,24,63,1
Maryland,Minnesota,42,13,0
Michigan,Nebraska,56,10,0
Indiana,Michigan State,21,35,1
Iowa,Wisconsin,17,28,1
Rutgers,Indiana,17,24,1
Northwestern,Michigan,17,20,1
Penn State,Ohio State,26,27,1
Nebraska,Purdue,28,42,1
Rutgers,Illinois,17,38,1
Minnesota,Iowa,31,48,1
Michigan,Maryland,42,21,0
Michigan State,Northwestern,19,29,1
Ohio State,Indiana,49,26,0
Wisconsin,Nebraska,41,24,0
Indiana,Iowa,16,42,1
Maryland,Rutgers,34,7,0
Michigan,Wisconsin,38,13,0
Penn State,Michigan State,17,21,1
Northwestern,Nebraska,34,31,0
Ohio State,Minnesota,30,14,0
Illinois,Purdue,7,46,1
Iowa,Maryland,23,0,0
Michigan State,Michigan,7,21,1
Nebraska,Minnesota,53,28,0
Rutgers,Northwestern,15,18,1
Indiana,Penn State,28,33,1
Purdue,Ohio State,49,20,0
Wisconsin,Illinois,49,20,0
Minnesota,Indiana,38,31,0
Maryland,Illinois,63,33,0
Michigan State,Purdue,23,13,0
Northwestern,Wisconsin,31,17,0
Penn State,Iowa,30,24,0
Illinois,Minnesota,55,31,0
Michigan,Penn State,42,7,0
Maryland,Michigan State,3,24,1
Ohio State,Nebraska,36,31,0
Purdue,Iowa,38,36,0
Wisconsin,Rutgers,31,17,0
Indiana,Maryland,34,32,0
Rutgers,Michigan,7,42,1
Minnesota,Purdue,41,10,0
Nebraska,Illinois,54,35,0
Iowa,Northwestern,10,14,1
Michigan State,Ohio State,6,26,1
Penn State,Wisconsin,22,10,0
Illinois,Iowa,0,63,1
Michigan,Indiana,31,20,0
Nebraska,Michigan State,9,6,0
Minnesota,Northwestern,14,24,1
Maryland,Ohio State,51,52,1
Rutgers,Penn State,7,20,1
Purdue,Wisconsin,44,47,1
Iowa,Nebraska,31,28,0
Michigan State,Rutgers,14,10,0
Wisconsin,Minnesota,15,37,1
Northwestern,Illinois,24,16,0
Ohio State,Michigan,62,39,0
Penn State,Maryland,38,3,0
Indiana,Purdue,21,28,1
South Carolina,Georgia,17,41,1
Florida,Kentucky,16,27,1
Ole Miss,Alabama,7,62,1
Auburn,LSU,21,22,1
Alabama,Texas A&M,45,23,0
Auburn,Arkansas,34,3,0
Tennessee,Florida,21,47,1
Missouri,Georgia,29,43,1
Kentucky,Mississippi State,28,7,0
Vanderbilt,South Carolina,14,37,1
Mississippi State,Florida,6,13,1
Georgia,Tennessee,38,12,0
Kentucky,South Carolina,24,10,0
LSU,Ole Miss,45,16,0
Texas A&M,Arkansas,24,17,0
Arkansas,Alabama,31,65,1
Florida,LSU,27,19,0
Georgia,Vanderbilt,41,13,0
Mississippi State,Auburn,23,9,0
South Carolina,Missouri,37,35,0
Texas A&M,Kentucky,20,14,0
Alabama,Missouri,39,10,0
Vanderbilt,Florida,27,37,1
LSU,Georgia,36,16,0
Arkansas,Ole Miss,33,37,1
Auburn,Tennessee,24,30,1
South Carolina,Texas A&M,23,26,1
Tennessee,Alabama,21,58,1
Ole Miss,Auburn,16,31,1
Kentucky,Vanderbilt,14,7,0
LSU,Mississippi State,19,3,0
Georgia,Florida,36,17,0
Missouri,Kentucky,14,15,1
Mississippi State,Texas A&M,28,13,0
South Carolina,Tennessee,27,24,0
Arkansas,Vanderbilt,31,45,1
LSU,Alabama,0,29,1
Auburn,Texas A&M,28,24,0
Kentucky,Georgia,17,34,1
Florida,Missouri,17,38,1
Ole Miss,South Carolina,44,48,1
Alabama,Mississippi State,24,0,0
Florida,South Carolina,35,31,0
Georgia,Auburn,27,10,0
Arkansas,LSU,17,24,1
Missouri,Vanderbilt,33,28,0
Tennessee,Kentucky,24,7,0
Texas A&M,Ole Miss,38,24,0
Mississippi State,Arkansas,52,6,0
Tennessee,Missouri,17,50,1
Vanderbilt,Ole Miss,36,29,0
Ole Miss,Mississippi State,3,35,1
Missouri,Arkansas,38,0,0
Alabama,Auburn,52,21,0
Texas A&M,LSU,74,72,0
Vanderbilt,Tennessee,38,13,0
Florida State,Virginia Tech,3,24,1
Wake Forest,Boston College,34,41,1
